title,description,date,edition,format,filesize (bytes),jpg_linkage,custodian,copyright,contributor,topicCategory,keywords,geographicDescription,spatialResolution,mapCentreLongitude,mapCentreLatitude,boundingBoxEastLongitude,boundingBoxNorthLatitude,boundingBoxSouthLatitude,boundingBoxWestLongitude
8062-13 Downey Creek,Topographic map of 1:25000 8062-13 Downey Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1981,Edition 1,Digital format: image---jpeg Original format: copy print : colour,12164096,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8062-13-downey-creek-ed-1-1981.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.812500,-17.687500,145.875000,-17.625000,-17.750000,145.750000
8062-21 Maadi,Topographic map of 1:25000 8062-21 Maadi displaying graphic representations of features including relief hydrography vegetation and cultural,1981,Edition 1,Digital format: image---jpeg Original format: copy print : colour,11814912,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8062-21-maadi-ed-1-1981.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.937500,-17.812500,146.000000,-17.750000,-17.875000,145.875000
8062-22 Tully,Topographic map of 1:25000 8062-22 Tully displaying graphic representations of features including relief hydrography vegetation and cultural,1980,Edition 1,Digital format: image---jpeg Original format: copy print : colour,8453120,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8062-22-tully-ed-1-1980.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.937500,-17.937500,146.000000,-17.875000,-18.000000,145.875000
8062-23 Jarra Creek,Topographic map of 1:25000 8062-23 Jarra Creek displaying graphic representations of features including relief hydrography vegetation and cultural,1982,Edition 1,Digital format: image---jpeg Original format: copy print : colour,6929408,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8062-23-jarra-creek-ed-1-1982.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.812500,-17.937500,145.875000,-17.875000,-18.000000,145.750000
8062-24 Mount Marquette,Topographic map of 1:25000 8062-24 Mount Marquette displaying graphic representations of features including relief hydrography vegetation and cultural,1981,Edition 1,Digital format: image---jpeg Original format: copy print : colour,13235200,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8062-24-mount-marquette-ed-1-1981.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.812500,-17.812500,145.875000,-17.750000,-17.875000,145.750000
8064-23 Cairns,Topographic map of 1:25000 8064-23 Cairns displaying graphic representations of features including relief hydrography vegetation and cultural,1988,Edition 1,Digital format: image---jpeg Original format: copy print : colour,51421184,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-23-cairns-ed-1-1988.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.812500,-16.937500,145.875000,-16.875000,-17.000000,145.750000
8064-23 Cairns,Topographic map of 1:25000 8064-23 Cairns displaying graphic representations of features including relief hydrography vegetation and cultural,2004,Edition 2,Digital format: image---jpeg Original format: copy print : colour,12014592,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-23-cairns-ed-2-2004.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.812500,-16.937500,145.875000,-16.875000,-17.000000,145.750000
8064-31 Kuranda,Topographic map of 1:25000 8064-31 Kuranda displaying graphic representations of features including relief hydrography vegetation and cultural,1987,Edition 1,Digital format: image---jpeg Original format: copy print : colour,19165184,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-31-kuranda-ed-1-1987.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.687500,-16.812500,145.750000,-16.750000,-16.875000,145.625000
8064-31 Kuranda,Topographic map of 1:25000 8064-31 Kuranda displaying graphic representations of features including relief hydrography vegetation and cultural,2004,Edition 2,Digital format: image---jpeg Original format: copy print : colour,12386304,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-31-kuranda-ed-2-2004.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.687500,-16.812500,145.750000,-16.750000,-16.875000,145.625000
8064-32 Redlynch,Topographic map of 1:25000 8064-32 Redlynch displaying graphic representations of features including relief hydrography vegetation and cultural,1987,Edition 1,Digital format: image---jpeg Original format: copy print : colour,22409216,https://gisservices.information.qld.gov.au/arcgis/rest/directories/historicalscans/topo_scans/topo-map-25000-line-colour-8064-32-redlynch-ed-1-1987.jpg,Department of Natural Resources and Mines,CREATIVE COMMONS ATTRIBUTION,Check the map image.,planning:topography,historical;topographic;topography;elevation;contour;height;map;queensland,Queensland,25000,145.687500,-16.937500,145.750000,-16.875000,-17.000000,145.625000
